"Equipo","Año","Ronda","Equipo Original","Comentario"
"Washington Wizards",2027,2,"Dallas Mavericks",""
"Washington Wizards",2028,1,"Washington Wizards",""
"Washington Wizards",2029,1,"Washington Wizards",""
"Washington Wizards",2029,2,"Cleveland Cavaliers",""
"Washington Wizards",2029,2,"Orlando Magic",""
"Washington Wizards",2029,2,"Washington Wizards",""
"Washington Wizards",2030,1,"Washington Wizards",""
"Washington Wizards",2030,2,"Milwaukee Bucks",""
"Washington Wizards",2030,2,"Washington Wizards",""
"Denver Nuggets",2027,2,"San Antonio Spurs",""
"Denver Nuggets",2028,1,"Denver Nuggets",""
"Denver Nuggets",2028,2,"Denver Nuggets",""
"Denver Nuggets",2029,1,"Denver Nuggets",""
"Denver Nuggets",2030,2,"Dallas Mavericks",""
"Minnesota Timberwolves",2027,1,"Milwaukee Bucks",""
"Minnesota Timberwolves",2027,1,"Minnesota Timberwolves",""
"Minnesota Timberwolves",2028,1,"Minnesota Timberwolves",""
"Minnesota Timberwolves",2029,1,"Minnesota Timberwolves",""
"Minnesota Timberwolves",2029,2,"Minnesota Timberwolves",""
"Minnesota Timberwolves",2030,1,"Minnesota Timberwolves",""
"Minnesota Timberwolves",2030,2,"Minnesota Timberwolves",""
"Oklahoma City Thunder",2027,1,"Oklahoma City Thunder","Mejor con pistons"
"Oklahoma City Thunder",2027,1,"Golden State Warriors",""
"Oklahoma City Thunder",2028,1,"Oklahoma City Thunder",""
"Oklahoma City Thunder",2028,2,"Minnesota Timberwolves",""
"Oklahoma City Thunder",2029,1,"Atlanta Hawks",""
"Oklahoma City Thunder",2029,1,"Oklahoma City Thunder",""
"Oklahoma City Thunder",2029,2,"Memphis Grizzlies",""
"Oklahoma City Thunder",2029,2,"Oklahoma City Thunder",""
"Oklahoma City Thunder",2030,1,"Oklahoma City Thunder",""
"Oklahoma City Thunder",2030,2,"Oklahoma City Thunder",""
"Portland Trail Blazers",2027,1,"Portland Trail Blazers",""
"Portland Trail Blazers",2027,2,"New Orleans Pelicans",""
"Portland Trail Blazers",2028,1,"Portland Trail Blazers",""
"Portland Trail Blazers",2028,2,"Washington Wizards",""
"Portland Trail Blazers",2029,1,"Golden State Warriors",""
"Portland Trail Blazers",2029,1,"Portland Trail Blazers",""
"Portland Trail Blazers",2030,1,"Portland Trail Blazers",""
"Portland Trail Blazers",2030,2,"Portland Trail Blazers",""
"Utah Jazz",2027,1,"Utah Jazz",""
"Utah Jazz",2027,2,"Utah Jazz",""
"Utah Jazz",2028,1,"Utah Jazz",""
"Utah Jazz",2028,2,"Utah Jazz",""
"Utah Jazz",2029,1,"Utah Jazz",""
"Utah Jazz",2029,2,"Utah Jazz",""
"Utah Jazz",2030,1,"Utah Jazz",""
"Utah Jazz",2030,2,"Utah Jazz",""
"Golden State Warriors",2028,1,"Golden State Warriors",""
"Golden State Warriors",2030,1,"Golden State Warriors",""
"Golden State Warriors",2030,2,"Golden State Warriors",""
